Crop,Season,Region,Min. Temperature,Max. Temperature,Min. Rainfall(cm),Max. Rainfall(cm),pH value,soil type
Arhar/Tur,Kharif ,Barwani,18,30,60,61,7.119,Deep Medium Black Soil
Arhar/Tur,Kharif ,Betul,17,35,59,62,7.41,Shallow & Medium Black Soil
Arhar/Tur,Kharif ,Bhind,15,31,59,61,6.696,Alluvial soil
Arhar/Tur,Kharif ,Bhopal,16,33,58,62,7.168,Deep Medium Black Soil
Arhar/Tur,Kharif,Burhanpur,18,35,60,63,7.473,Deep Medium Black Soil
Arhar/Tur,Kharif,Chhatarpur,18,30,59,62,6.749,Deep Medium Black Soil
Arhar/Tur,Kharif,Chhindwara,15,35,58,63,6.928,Deep Medium Black Soil
Arhar/Tur,Kharif,Damoh,16,31,58,61,7.352,Deep Medium Black Soil
Arhar/Tur,Kharif,Datia,18,34,58,61,6.603,Deep Medium Black Soil
Arhar/Tur,Kharif,Dewas,17,33,56,61,6.837,Deep Medium Black Soil
Arhar/Tur,Kharif,Dhar,17,35,60,64,6.71,Deep Medium Black Soil
Arhar/Tur,Kharif,Dindori,17,31,58,61,7.581,Deep Medium Black Soil
Arhar/Tur,Kharif,Guna,18,30,59,64,7.224,Deep Medium Black Soil
Arhar/Tur,Kharif,Gwalior,18,35,54,63,6.843,Shallow & Medium Black Soil
Arhar/Tur,Kharif,Harda,16,30,57,63,7.045,Deep Medium Black Soil
Coriander,Whole Year,Balaghat,21,28,79,100,6.842,Deep Medium Black Soil
Coriander,Whole Year,Barwani,22,26,84,99,6.656,Deep Medium Black Soil
Coriander,Whole Year,Betul,24,27,84,95,6.804,Deep Medium Black Soil
Coriander,Whole Year,Bhind,25,27,82,91,6.447,Deep Medium Black Soil
Coriander,Whole Year,Bhopal,21,26,77,89,6.629,Deep Medium Black Soil
Coriander,Whole Year,Burhanpur,24,30,84,96,6.493,Shallow & Medium Black Soil
Coriander,Whole Year,Chhatarpur,22,28,80,94,6.227,Shallow & Medium Black Soil
Coriander,Whole Year,Chhindwara,22,28,82,88,6.371,Mixed Red & Black Soil
Coriander,Whole Year,Damoh,23,29,75,92,6.656,Deep Medium Black Soil
Coriander,Whole Year,Datia,21,26,80,95,6.437,Deep Medium Black Soil
Coriander,Whole Year,Dewas,25,29,81,102,6.66,Deep Medium Black Soil
Coriander,Whole Year,Dhar,23,30,75,100,6.381,Deep Medium Black Soil
Coriander,Whole Year,Dindori,25,29,78,94,6.33,Deep Medium Black Soil
Coriander,Whole Year,Guna,25,28,82,101,6.689,Deep Medium Black Soil
Coriander,Whole Year,Gwalior,24,27,84,94,6.779,Alluvial soil
Coriander,Whole Year,Harda,25,27,81,95,6.251,Deep Medium Black Soil
Coriander,Whole Year,Hoshangabad,24,26,83,96,6.593,Shallow & Medium Black Soil
Coriander,Whole Year,Indore,20,26,81,101,6.339,Deep Medium Black Soil
Coriander,Whole Year,Jabalpur,24,30,75,100,6.632,Deep Medium Black Soil
Coriander,Whole Year,Jhabua,25,30,83,92,6.775,Deep Medium Black Soil
Coriander,Whole Year,Katni,23,29,76,92,6.786,Shallow & Medium Black Soil
Coriander,Whole Year,Khandwa,21,27,83,97,6.896,Shallow & Medium Black Soil
Coriander,Whole Year,Khargone,23,30,76,97,6.78,Mixed red & black Soil
Maize,Kharif ,Sagar,22,27,55,90,6.742,Deep Medium Black Soil
Maize,Kharif ,Satna,23,25,53,98,5.975,Deep Medium Black Soil
Maize,Kharif ,Sehore,21,27,56,91,6.777,Deep Medium Black Soil
Maize,Kharif ,Seoni,25,27,51,88,5.885,Mixed Red & Black Soil
Maize,Kharif ,Shahdol,19,28,59,100,6.871,Mixed Red & Black Soil
Maize,Kharif ,Shajapur,22,28,53,93,6.097,Shallow & Medium Black Soil
Maize,Kharif ,Sheopur,25,25,60,93,5.889,Deep Medium Black Soil
Maize,Kharif ,Shivpuri,22,27,51,98,6.246,Shallow & Medium Black Soil
Maize,Kharif ,Sidhi,20,26,55,87,5.929,Mixed Red & Black Soil
Maize,Kharif,Singrauli,24,26,55,90,6.385,Deep Medium Black Soil
Maize,Kharif,Tikamgarh,26,28,49,88,5.849,Deep Medium Black Soil
Maize,Kharif,Ujjain,22,28,61,86,6.612,Deep Medium Black Soil
Maize,Kharif,Umaria,25,25,64,91,6.559,Deep Medium Black Soil
Maize,Kharif,Vidisha,19,27,55,85,6.707,Deep Medium Black Soil
